Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Angola,2.44,49.60,291.75
Angola,2.44,47.30,221.91
Angola,2.44,47.30,227.69
Angola,2.44,49.60,227.69
Angola,2.44,49.60,221.91
Angola,2.44,47.30,252.80
Angola,2.44,49.60,252.80
Angola,2.44,47.30,233.10
Angola,2.44,49.60,233.10
Angola,2.44,49.60,367.26
Angola,2.44,47.30,367.26
Angola,2.44,47.30,334.73
Angola,2.44,49.60,334.73
Angola,2.44,47.30,1015.04
Angola,2.44,49.60,1015.04
Angola,2.44,49.60,1014.13
Angola,2.44,47.30,1014.13
Angola,2.44,49.60,1096.31
Angola,2.44,47.30,1096.31
Angola,2.44,47.30,1062.22
Angola,2.44,49.60,1022.62
Angola,2.44,47.30,1022.62
Angola,2.44,49.60,1062.22
Angola,2.44,49.60,997.42
Angola,2.44,47.30,997.42
Angola,2.44,47.30,961.12
Angola,2.44,49.60,961.12
Angola,2.44,49.60,1144.28
Angola,2.44,47.30,1144.28
Angola,2.44,47.30,1057.43
Angola,2.44,49.60,1057.43
Angola,2.44,47.30,1097.97
Angola,2.44,47.30,1084.06
Angola,2.44,49.60,1084.06
Angola,2.44,49.60,1097.97
Angola,2.44,47.30,1101.51
Angola,2.44,49.60,1101.51
Angola,2.44,47.30,1099.85
Angola,2.44,49.60,1099.85
Angola,2.44,47.30,859.92
Angola,2.44,49.60,859.92
Angola,2.44,49.60,549.84
Angola,2.44,47.30,549.84
Angola,2.44,47.30,507.72
Angola,2.44,49.60,507.72
Angola,2.44,49.60,462.97
Angola,2.44,47.30,462.97
Angola,2.44,47.30,398.88
Angola,2.44,49.60,398.88
Angola,2.44,49.60,438.34
Angola,2.44,47.30,438.34
Angola,2.44,49.60,676.50
Angola,2.44,47.30,676.50
Angola,2.44,47.30,594.19
Angola,2.44,49.60,594.19
Angola,2.44,47.30,893.49
Angola,2.44,49.60,893.49
Angola,2.44,47.30,934.12
Angola,2.44,49.60,934.12
Angola,2.44,47.30,758.27
Angola,2.44,49.60,758.27
Angola,2.44,47.30,799.64
Angola,2.44,49.60,799.64
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,99.90,47.16
"Antigua and Barbuda",28.98,99.90,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,99.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,99.90,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,100.00,47.16
"Antigua and Barbuda",28.98,99.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,99.90,41.30
"Antigua and Barbuda",28.98,99.90,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,99.00,41.30
"Antigua and Barbuda",28.98,100.00,41.30
"Antigua and Barbuda",28.98,99.90,41.30
"Antigua and Barbuda",28.98,99.00,47.16
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,99.90,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,99.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,99.90,33.72
"Antigua and Barbuda",28.98,99.90,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,100.00,33.72
"Antigua and Barbuda",28.98,99.00,33.72
"Antigua and Barbuda",28.98,99.90,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,99.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,99.90,51.30
"Antigua and Barbuda",28.98,99.90,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,100.00,51.30
"Antigua and Barbuda",28.98,99.00,51.30
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,99.90,34.89
"Antigua and Barbuda",28.98,99.90,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,99.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,99.90,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,100.00,34.89
"Antigua and Barbuda",28.98,99.00,34.89
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,99.90,34.02
"Antigua and Barbuda",28.98,99.90,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,99.00,34.02
"Antigua and Barbuda",28.98,100.00,34.02
"Antigua and Barbuda",28.98,99.90,34.02
"Antigua and Barbuda",28.98,99.00,34.02
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,99.90,50.57
"Antigua and Barbuda",28.98,99.90,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,99.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,99.90,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,50.57
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,99.90,45.71
"Antigua and Barbuda",28.98,99.90,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,99.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,99.90,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,100.00,45.71
"Antigua and Barbuda",28.98,99.00,45.71
"Antigua and Barbuda",28.98,99.00,50.57
"Antigua and Barbuda",28.98,99.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,99.90,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,99.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,99.90,39.29
"Antigua and Barbuda",28.98,99.90,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,99.90,36.81
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,100.00,39.29
"Antigua and Barbuda",28.98,99.00,39.29
"Antigua and Barbuda",28.98,99.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,99.90,36.81
"Antigua and Barbuda",28.98,99.90,36.81
"Antigua and Barbuda",28.98,100.00,36.81
"Antigua and Barbuda",28.98,100.00,43.36
"Antigua and Barbuda",28.98,99.90,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,100.00,44.10
"Antigua and Barbuda",28.98,99.90,44.10
