Country,Doctors_Per_10k,Births_Attended_By_Skilled_Personnel,Maternal_Mortality_Rate
Afghanistan,2.54,45.20,1602.94
Afghanistan,2.54,50.50,1602.94
Afghanistan,2.54,53.40,1602.94
Afghanistan,2.54,58.80,1602.94
Afghanistan,2.54,61.80,1602.94
Afghanistan,2.54,67.50,1602.94
Afghanistan,2.54,14.30,1602.94
Afghanistan,2.54,14.30,1382.73
Afghanistan,2.54,34.30,1382.73
Afghanistan,2.54,38.60,1382.73
Afghanistan,2.54,39.90,1382.73
Afghanistan,2.54,67.50,1382.73
Afghanistan,2.54,61.80,1382.73
Afghanistan,2.54,58.80,1382.73
Afghanistan,2.54,53.40,1382.73
Afghanistan,2.54,50.50,1382.73
Afghanistan,2.54,45.20,1382.73
Afghanistan,2.54,14.30,1377.86
Afghanistan,2.54,34.30,1377.86
Afghanistan,2.54,38.60,1377.86
Afghanistan,2.54,39.90,1377.86
Afghanistan,2.54,45.20,1377.86
Afghanistan,2.54,50.50,1377.86
Afghanistan,2.54,53.40,1377.86
Afghanistan,2.54,67.50,1377.86
Afghanistan,2.54,61.80,1377.86
Afghanistan,2.54,58.80,1377.86
Afghanistan,2.54,14.30,1400.84
Afghanistan,2.54,14.30,1375.09
Afghanistan,2.54,34.30,1375.09
Afghanistan,2.54,38.60,1375.09
Afghanistan,2.54,39.90,1375.09
Afghanistan,2.54,45.20,1375.09
Afghanistan,2.54,50.50,1375.09
Afghanistan,2.54,53.40,1375.09
Afghanistan,2.54,58.80,1375.09
Afghanistan,2.54,61.80,1375.09
Afghanistan,2.54,67.50,1375.09
Afghanistan,2.54,38.60,1400.84
Afghanistan,2.54,39.90,1400.84
Afghanistan,2.54,45.20,1400.84
Afghanistan,2.54,50.50,1400.84
Afghanistan,2.54,53.40,1400.84
Afghanistan,2.54,58.80,1400.84
Afghanistan,2.54,61.80,1400.84
Afghanistan,2.54,67.50,1400.84
Afghanistan,2.54,34.30,1400.84
Afghanistan,2.54,14.30,1413.93
Afghanistan,2.54,34.30,1413.93
Afghanistan,2.54,38.60,1413.93
Afghanistan,2.54,39.90,1413.93
Afghanistan,2.54,45.20,1413.93
Afghanistan,2.54,50.50,1413.93
Afghanistan,2.54,53.40,1413.93
Afghanistan,2.54,58.80,1413.93
Afghanistan,2.54,61.80,1413.93
Afghanistan,2.54,67.50,1413.93
Afghanistan,2.54,67.50,1586.72
Afghanistan,2.54,61.80,1586.72
Afghanistan,2.54,58.80,1586.72
Afghanistan,2.54,53.40,1586.72
Afghanistan,2.54,50.50,1586.72
Afghanistan,2.54,45.20,1586.72
Afghanistan,2.54,39.90,1586.72
Afghanistan,2.54,38.60,1586.72
Afghanistan,2.54,34.30,1586.72
Afghanistan,2.54,14.30,1586.72
Afghanistan,2.54,14.30,1368.82
Afghanistan,2.54,34.30,1368.82
Afghanistan,2.54,38.60,1368.82
Afghanistan,2.54,39.90,1368.82
Afghanistan,2.54,45.20,1368.82
Afghanistan,2.54,50.50,1368.82
Afghanistan,2.54,53.40,1368.82
Afghanistan,2.54,58.80,1368.82
Afghanistan,2.54,61.80,1368.82
Afghanistan,2.54,67.50,1368.82
Afghanistan,2.54,14.30,962.32
Afghanistan,2.54,34.30,962.32
Afghanistan,2.54,38.60,962.32
Afghanistan,2.54,39.90,962.32
Afghanistan,2.54,45.20,962.32
Afghanistan,2.54,50.50,962.32
Afghanistan,2.54,53.40,962.32
Afghanistan,2.54,58.80,962.32
Afghanistan,2.54,61.80,962.32
Afghanistan,2.54,67.50,962.32
Afghanistan,2.54,67.50,913.04
Afghanistan,2.54,61.80,913.04
Afghanistan,2.54,58.80,913.04
Afghanistan,2.54,53.40,913.04
Afghanistan,2.54,50.50,913.04
Afghanistan,2.54,45.20,913.04
Afghanistan,2.54,39.90,913.04
Afghanistan,2.54,38.60,913.04
Afghanistan,2.54,14.30,913.04
Afghanistan,2.54,34.30,913.04
Afghanistan,2.54,14.30,1114.89
Afghanistan,2.54,34.30,1114.89
Afghanistan,2.54,38.60,1114.89
Afghanistan,2.54,39.90,1114.89
Afghanistan,2.54,45.20,1114.89
Afghanistan,2.54,50.50,1114.89
Afghanistan,2.54,53.40,1114.89
Afghanistan,2.54,58.80,1114.89
Afghanistan,2.54,61.80,1114.89
Afghanistan,2.54,67.50,1114.89
Afghanistan,2.54,34.30,1196.09
Afghanistan,2.54,38.60,1196.09
Afghanistan,2.54,39.90,1196.09
Afghanistan,2.54,45.20,1196.09
Afghanistan,2.54,50.50,1196.09
Afghanistan,2.54,53.40,1196.09
Afghanistan,2.54,58.80,1196.09
Afghanistan,2.54,61.80,1196.09
Afghanistan,2.54,67.50,1196.09
