country,maternal_mortality_rate
Nigeria,1069.75
"Equatorial Guinea",1069.70
"South Sudan",1067.44
Gambia,1066.50
Mali,1064.65
Nepal,1063.73
Chad,1063.49
Angola,1062.22
"South Sudan",1061.88
"South Sudan",1059.82
Angola,1057.43
"DR Congo",1056.93
Timor-Leste,1055.28
"Equatorial Guinea",1053.63
Ethiopia,1051.62
Gambia,1050.67
Guinea,1049.53
Niger,1047.85
Chad,1047.30
Nigeria,1047.24
Afghanistan,1044.40
Rwanda,1041.88
Lesotho,1040.18
Lesotho,1037.98
Guinea,1032.76
Sudan,1032.45
Mozambique,1031.54
Guinea,1030.63
Eritrea,1024.48
Niger,1024.38
Afghanistan,1023.50
Angola,1022.62
Timor-Leste,1021.75
Timor-Leste,1018.78
Ethiopia,1017.63
Angola,1015.04
Angola,1014.13
Guinea-Bissau,1007.83
Rwanda,1006.52
Mali,1005.45
Niger,997.71
Mozambique,997.61
Guinea,997.52
Angola,997.42
Nepal,995.17
"DR Congo",988.67
Malawi,985.91
Gambia,983.52
Sudan,980.40
Ethiopia,977.93
Guinea-Bissau,976.95
Rwanda,975.95
Sudan,975.14
Mali,974.26
Mali,973.10
"Sierra Leone",972.64
Sudan,972.62
Guinea,970.93
Malawi,970.77
Niger,970.74
Burundi,969.88
Niger,965.11
Sudan,963.90
Lesotho,963.02
Liberia,962.52
Afghanistan,962.32
Nepal,961.23
Angola,961.12
Ethiopia,960.47
Malawi,960.12
"Equatorial Guinea",959.46
Guinea,957.85
Ethiopia,955.11
Mali,954.91
Malawi,953.41
Ethiopia,952.84
"DR Congo",952.43
Rwanda,952.10
Rwanda,951.90
Malawi,949.55
Bangladesh,948.44
Ethiopia,947.12
Malawi,944.62
Guinea,942.88
Eritrea,939.80
Ethiopia,939.58
Guinea,937.80
Angola,934.12
Mali,933.45
Gambia,929.26
Mali,928.69
Guinea,928.56
Mozambique,927.48
Guinea,922.78
Niger,919.35
Bangladesh,918.86
Malawi,917.62
Nigeria,917.00
Guinea,915.56
Afghanistan,913.04
"DR Congo",912.15
Bangladesh,911.24
Mozambique,909.49
Bangladesh,907.47
Bangladesh,906.45
Ethiopia,906.12
Bangladesh,902.71
"Sierra Leone",901.04
Ethiopia,900.38
Afghanistan,898.67
Mali,898.03
Malawi,897.78
Niger,897.26
Burundi,896.98
"DR Congo",895.57
Rwanda,894.66
Angola,893.49
Sudan,893.18
Tanzania,893.00
Malawi,891.79
Mozambique,891.42
Guinea,887.22
Niger,884.11
Afghanistan,883.71
Gambia,881.57
Ethiopia,879.86
Laos,877.99
Niger,877.86
"DR Congo",876.67
Eritrea,875.94
Guinea-Bissau,874.76
Lesotho,873.74
Burundi,873.65
Niger,872.68
Tanzania,872.15
Niger,870.82
Mozambique,870.22
Tanzania,870.08
Niger,866.79
Bangladesh,866.46
Niger,866.18
Mozambique,865.24
Tanzania,863.39
Tanzania,863.31
Niger,862.94
Tanzania,862.71
Niger,861.61
Angola,859.92
Liberia,859.25
Sudan,858.03
Niger,856.51
Nepal,855.73
Tanzania,855.07
Laos,852.42
Niger,851.52
Tanzania,848.70
Ghana,847.98
Mali,847.95
Gambia,846.86
Guinea,845.61
Tanzania,845.39
Guinea-Bissau,844.72
Tanzania,843.91
Guinea-Bissau,841.08
Sudan,840.41
"Sierra Leone",837.35
"DR Congo",836.17
Bhutan,835.07
Lesotho,834.26
Tanzania,834.20
Afghanistan,833.48
"Equatorial Guinea",832.18
Laos,830.69
Mozambique,828.58
Malawi,827.20
Tanzania,825.18
Burundi,823.02
Afghanistan,820.69
Eritrea,820.10
Rwanda,817.93
Guinea,817.42
Tanzania,816.99
Ghana,815.44
Ethiopia,814.16
Eritrea,813.58
Nepal,812.87
Tanzania,811.74
"Burkina Faso",811.67
"Burkina Faso",810.85
Madagascar,810.44
"DR Congo",809.44
Bangladesh,808.59
"Burkina Faso",808.55
Eritrea,808.00
"DR Congo",807.03
Madagascar,805.41
Liberia,805.13
Guinea-Bissau,803.52
Niger,801.34
Gambia,800.55
Angola,799.64
Laos,796.03
Bangladesh,795.94
"Burkina Faso",795.30
Guinea-Bissau,794.52
Mauritania,793.68
Mali,793.51
Ghana,791.39
Tanzania,791.28
Gambia,789.88
Afghanistan,785.35
Lesotho,783.93
Eswatini,783.43
Mauritania,781.28
Ethiopia,780.30
Burundi,779.44
Burundi,779.01
Gambia,777.68
Liberia,777.43
Gambia,777.19
Liberia,775.91
Afghanistan,775.69
Madagascar,773.51
Laos,772.58
Gambia,772.33
Bangladesh,771.38
Sudan,770.85
Bhutan,770.46
Gambia,769.62
Ghana,769.32
Niger,767.87
Bangladesh,767.65
Guinea-Bissau,767.31
"Burkina Faso",767.27
Guinea,764.46
Madagascar,762.06
Tanzania,760.08
Senegal,759.97
Liberia,758.35
Angola,758.27
Bangladesh,758.23
Guinea-Bissau,758.16
Uganda,757.21
Laos,756.59
Gambia,751.97
"DR Congo",751.78
Madagascar,751.65
Mozambique,750.00
Afghanistan,749.82
Timor-Leste,749.72
"DR Congo",749.70
Gambia,747.84
Eritrea,747.06
Liberia,746.83
Bhutan,746.82
Gambia,745.51
Gambia,744.90
Guinea,744.29
Guinea,744.27
Mali,742.34
Guinea-Bissau,741.70
Cameroon,741.01
Guinea,740.70
Cameroon,739.85
Burundi,739.56
Guinea,736.78
Nepal,736.39
Cameroon,735.97
Timor-Leste,735.82
Mauritania,735.45
Niger,734.85
Eritrea,734.59
Madagascar,733.59
Guinea-Bissau,732.56
Lesotho,728.38
Laos,727.88
"Sierra Leone",727.58
Madagascar,725.61
"Equatorial Guinea",725.13
Guinea-Bissau,725.09
Ethiopia,724.71
"Burkina Faso",721.83
Cameroon,721.76
Malawi,721.46
Benin,718.65
Gambia,718.42
Uganda,718.42
Ghana,717.23
Rwanda,714.99
Cameroon,714.13
Mauritania,713.81
Mozambique,713.61
Burundi,712.77
Guinea-Bissau,712.53
Bhutan,712.20
Haiti,710.37
Guinea-Bissau,709.51
Senegal,709.35
Ghana,708.89
Tanzania,707.27
Djibouti,707.17
Guinea-Bissau,705.48
Niger,704.18
"Burkina Faso",703.92
Nepal,703.46
Lesotho,702.65
Cameroon,701.93
Mauritania,701.44
"DR Congo",701.34
Liberia,699.79
Gambia,698.39
Cameroon,697.29
Mauritania,697.27
Mauritania,697.21
Burundi,695.55
Mauritania,694.69
"DR Congo",694.40
Cameroon,694.33
Ghana,692.83
Mauritania,692.64
Sudan,692.52
Haiti,691.85
Eswatini,691.41
Gambia,689.27
Madagascar,688.13
Cambodia,687.81
Cameroon,687.40
"Burkina Faso",686.93
"Burkina Faso",686.71
Liberia,685.59
